scientific_name,common_name,wiki_link
Aptenodytes forsteri,King penguin,https://en.wikipedia.org/wiki/Aptenodytes_patagonicus
Aptenodytes patagonicus,Emperor penguin,https://en.wikipedia.org/wiki/Aptenodytes_forsteri
Eudyptes chrysocome,Southern rockhopper penguin,https://en.wikipedia.org/wiki/Southern_rockhopper_penguin
Eudyptes chrysolophus,Macaroni penguin,"https://www.britannica.com/animal/macaroni-penguin#:~:text=macaroni%20penguin%2C%20(Eudyptes%20chrysolophus),black%20feathers%20on%20the%20head."
Eudyptes filholi,Eastern rockhopper penguin,https://en.wikipedia.org/wiki/Eastern_rockhopper_penguin
Eudyptes moseleyi,Northern rockhopper penguin,"https://en.wikipedia.org/wiki/Northern_rockhopper_penguin#:~:text=The%20northern%20rockhopper%20penguin%2C%20Moseley's,southern%20Indian%20and%20Atlantic%20Oceans."
Eudyptes pachyrhynchus,Fiordland penguin,"https://en.wikipedia.org/wiki/Fiordland_penguin#:~:text=The%20Fiordland%20penguin%20(Eudyptes%20pachyrhynchus,species%20endemic%20to%20New%20Zealand."
Eudyptes robustus,Snares penguin,"https://en.wikipedia.org/wiki/Snares_penguin#:~:text=The%20Snares%20penguin%20(Eudyptes%20robustus,a%20penguin%20from%20New%20Zealand."
Eudyptes schlegeli,Royal penguin,"https://www.antarctica.gov.au/about-antarctica/animals/penguins/royal-penguin/#:~:text=Royal%20penguins%20are%20one%20of,the%20German%20zoologist%20Hermann%20Schlegel."
Eudyptes sclateri,Erect-crested penguin,https://en.wikipedia.org/wiki/Erect-crested_penguin
Eudyptula minor,Little blue penguin,"https://en.wikipedia.org/wiki/Little_penguin#:~:text=The%20little%20penguin%20(Eudyptula%20minor,by%20their%20M%C4%81ori%20name%20koror%C4%81."
Megadyptes antipodes,Yellow-eyed penguin,"https://ecos.fws.gov/ecp/species/4608#:~:text=yellow%2Deyed%20penguin%20(Megadyptes%20antipodes),-Range%20Information%20%7CCandidate"
Pygoscelis adeliae,Adelie penguin,https://en.wikipedia.org/wiki/Ad%C3%A9lie_penguin
Pygoscelis antarcticus,Chinstrap penguin,"https://www.inaturalist.org/taxa/54549-Pygoscelis-antarcticus#:~:text=The%20chinstrap%20penguin%20(Pygoscelis%20antarcticus,making%20it%20easy%20to%20identify."
Pygoscelis papua,Gentoo penguin,https://en.wikipedia.org/wiki/Gentoo_penguin
Spheniscus demersus,African penguin,https://en.wikipedia.org/wiki/African_penguin
Spheniscus humboldti,Humboldt penguin,https://en.wikipedia.org/wiki/Humboldt_penguin
Spheniscus magellanicus,Magellanic penguin,https://en.wikipedia.org/wiki/Magellanic_penguin
Spheniscus mendiculus,Galapagos penguin,https://en.wikipedia.org/wiki/Galapagos_penguin